"GEMINISEA","Gemini Sea Food Ltd."
"GENNEXT","Generation Next Fashions Limited"
"GHAIL","Golden Harvest Agro Industries Ltd."
"GHCL","Global Heavy Chemicals Limited"
"GLAXOSMITH","GlaxoSmithKline(GSK) Bangladesh Ltd."
"GLOBALINS","Global Insurance Company Ltd."
"GOLDENSON","Golden Son Ltd."
"GP","Grameenphone Ltd."
"GPHISPAT","GPH Ispat Ltd."
"GQBALLPEN","GQ Ball Pen Industries Ltd."
"GRAMEENS2","Grameen One : Scheme Two"
"GREENDELMF","Green Delta Mutual Fund"
"GREENDELT","Green Delta Insurance Ltd."
"GSPFINANCE","GSP Finance Company (Bangladesh) Limited"
"HAKKANIPUL","Hakkani Pulp & Paper Mills Ltd."
"HEIDELBCEM","Heidelberg Cement Bangladesh Ltd."
"HFL","Hamid Fabrics Limited"
"HRTEX","H.R.Textile Ltd."
"HWAWELLTEX","Hwa Well Textiles (BD) Limited"
"IBBLPBOND","IBBL Mudaraba Perpetual Bond"
"IBNSINA","The IBN SINA Pharmaceutical Industry Ltd."
"ICB","Investment Corporation Of Bangladesh"
"ICB2NDNRB","ICB AMCL 2nd NRB Mutual Fund"
"ICB3RDNRB","ICB AMCL Third NRB Mutual Fund"
"ICBAGRANI1","ICB AMCL First Agrani Bank Mutual Fund"
"ICBAMCL2ND","ICB AMCL Second Mutual Fund"
"ICBEPMF1S1","ICB Employees Provident MF 1: Scheme 1"
"ICBIBANK","ICB Islamic Bank Limited"
"ICBSONALI1","ICB AMCL Sonali Bank Limited 1st Mutual Fund"
"IDLC","IDLC Finance Ltd."
"IFADAUTOS","IFAD Autos Limited"
"IFIC","IFIC Bank Ltd."
"IFIC1STMF","IFIC Bank 1st Mutual Fund"
"IFILISLMF1","IFIL Islamic Mutual Fund-1"
"ILFSL","International Leasing & Financial Services Ltd."
"IMAMBUTTON","Imam Button Industries Ltd."
"INTECH","Intech Limited"
"INTRACO","Intraco Refueling Station Limited"
"IPDC","IPDC Finance Limited"
"ISLAMIBANK","Islami Bank Bangladesh Limited"
"ISLAMICFIN","Islamic Finance & Investment Ltd."
"ISLAMIINS","Islami Insurance Bangladesh Limited"
"ISNLTD","Information Services Network Ltd."
"ITC","IT Consultants Limited"
"JAMUNABANK","Jamuna Bank Ltd."
"JAMUNAOIL","Jamuna Oil Company Limited"
"JANATAINS","Janata Insurance Company Ltd."
"JMISMDL","JMI Syringes & Medical Devices Ltd."
"JUTESPINN","Jute Spinners Ltd."
"KARNAPHULI","Karnaphuli Insurance Company Ltd."
"KAY&QUE","Kay & Que (Bangladesh) Ltd."
"KBPPWBIL","Khan Brothers PP Woven Bag Industries Limited"
"KDSALTD","KDS Accessories Limited"
"KEYACOSMET","Keya Cosmetics Ltd."
"KOHINOOR","Kohinoor Chemicals Company (Bangladesh) Ltd."
"KPCL","Khulna Power Company Limited"
"KPPL","Khulna Printing & Packaging Limited"
"LANKABAFIN","LankaBangla Finance Ltd."
"LEGACYFOOT","Legacy Footwear Ltd."
